-3.1415927 | 0.0919997 | - | 0.1013212
-2.9883442 | 0.1007029 | - | 0.1119796
-2.8350958 | 0.1106468 | - | 0.1244126
-2.6818474 | 0.1220658 | - | 0.1390375
-2.5285990 | 0.1352482 | - | 0.1564012
-2.3753505 | 0.1505505 | - | 0.1772330
-2.2221021 | 0.1684143 | - | 0.2025219
-2.0688537 | 0.1893884 | - | 0.2336364
-1.9156053 | 0.2141537 | - | 0.2725135
-1.7623569 | 0.2435519 | - | 0.3219677
-1.6091084 | 0.2786113 | - | 0.3862152
-1.4558600 | 0.3205613 | - | 0.4718031
-1.3026116 | 0.3708103 | 0.3061966 | 0.5893457
-1.1493632 | 0.4308421 | 0.4310262 | 0.7569818
-0.9961147 | 0.5019464 | 0.4866990 | 1.0078160
-0.8428663 | 0.5846505 | 0.4996003 | 1.4076108
-0.6896179 | 0.6777029 | 0.4775337 | 2.1027273
-0.5363695 | 0.7765831 | 0.4229158 | 3.4759369
-0.3831211 | 0.8720055 | 0.3362001 | 6.8128364
-0.2298726 | 0.9498106 | 0.2185845 | 18.9245455
-0.0766242 | 0.9941630 | 0.0761782 | 170.3209097
0.0766242 | 0.9941630 | 0.0761782 | 170.3209097
0.2298726 | 0.9498106 | 0.2185845 | 18.9245455
0.3831211 | 0.8720055 | 0.3362001 | 6.8128364
0.5363695 | 0.7765831 | 0.4229158 | 3.4759369
0.6896179 | 0.6777029 | 0.4775337 | 2.1027273
0.8428663 | 0.5846505 | 0.4996003 | 1.4076108
0.9961147 | 0.5019464 | 0.4866990 | 1.0078160
1.1493632 | 0.4308421 | 0.4310262 | 0.7569818
1.3026116 | 0.3708103 | 0.3061966 | 0.5893457
1.4558600 | 0.3205613 | - | 0.4718031
1.6091084 | 0.2786113 | - | 0.3862152
1.7623569 | 0.2435519 | - | 0.3219677
1.9156053 | 0.2141537 | - | 0.2725135
2.0688537 | 0.1893884 | - | 0.2336364
2.2221021 | 0.1684143 | - | 0.2025219
2.3753505 | 0.1505505 | - | 0.1772330
2.5285990 | 0.1352482 | - | 0.1564012
2.6818474 | 0.1220658 | - | 0.1390375
2.8350958 | 0.1106468 | - | 0.1244126
2.9883442 | 0.1007029 | - | 0.1119796
3.1415927 | 0.0919997 | - | 0.1013212
